id,attribut,valeur,ref,impactprix,impactpoids,qtt
1,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x12):1,Crystal:2,Standard:0",159523,0,0,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0 ","75 (x12):1,Crystal:2,Standard:0",5081769,6,0.00414,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x9):1,Crystal:2,Standard:0",5081770,0,0.01686,10
2,"Taille:select:1, Couleur:select:2, Effet:select:0 ","110 (x6):1,Crystal:2,Standard:0",5081772,15,0,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,Standard:0",159524,0,0,10
3,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,Standard:0",159486,0,0,10
4,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40x39 (x20):1,Crystal:2,Standard:0",159487,0,0,10
5,"Taille:select:1, Couleur:select:2, Effet:select:0 ","80 (x4):1,Crystal:2,Standard:0",160444,0,0,10
6,"Taille:select:1, Couleur:select:2, Effet:select:0 ","55 (x36):1,Crystal:2,Standard:0",159525,0,0.0792,10
6,"Taille:select:1, Couleur:select:2, Effet:select:0 ","55 (x36):1,Crystal:2,Standard:0",159490,0,0,10
7,"Taille:select:1, Couleur:select:2, Effet:select:0 ","175 (x1):1,Crystal:2,Standard:0",5256819,0,0,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x2.6):1,Crystal:2,Standard:0",265953,371.9,0.03368,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Antique Green:2,Standard:0",274034,295.9,0.0083,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Blue Violet:2,Standard:0",627120,295.9,0.00982,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Bordeaux:2,Standard:0",274035,295.9,0.00733,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Crystal:2,Standard:0",265954,230.9,0.00827,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Arctic White:2,Standard:0",5284407,295.9,0.00283,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Dark Sapphire:2,Standard:0",943307,295.9,0.00713,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Emerald:2,Standard:0",696435,295.9,0.00771,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Jet:2,Standard:0",632236,295.9,0.00861,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Light Peridot:2,Standard:0",662779,295.9,0.00827,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Light Topaz:2,Standard:0",274036,295.9,0.00852,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Medium Sapphire:2,Standard:0",274037,295.9,0.0083,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Rosaline:2,Standard:0",274038,295.9,0.0083,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Silk:2,Standard:0",5039147,295.9,0.00386,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Topaz:2,Standard:0",627126,295.9,0.00204,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Violet:2,Standard:0",695137,295.9,0.00915,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,Standard:0",265955,227.9,0,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x600):1,Crystal:2,Standard:0",265966,156.9,12.9345,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x420):1,Crystal:2,Standard:0",265970,133.9,9.2985,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x350):1,Crystal:2,Standard:0",265971,152.9,8.5845,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x300):1,Crystal:2,Standard:0",265973,180.9,8.3745,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","26 (x240):1,Crystal:2,Standard:0",265977,169.9,6.5097,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x150):1,Crystal:2,Standard:0",265981,103.9,3.3645,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x125):1,Crystal:2,Standard:0",265984,103.9,3.0145,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x56):1,Crystal:2,Standard:0",265986,126.9,1.2961,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x20):1,Crystal:2,Standard:0",265987,0,0.3345,10
8,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x20):1,Crystal:2,Standard:0",265988,56.9,0.5195,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x3):1,Crystal:2,Standard:0",265809,437.9,0.03588,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x2.6):1,Crystal:2,Standard:0",265814,371.9,0.03154,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Antique Green:2,Standard:0",274039,295.9,0.00629,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Blue Violet:2,Standard:0",627121,295.9,0.00776,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Bordeaux:2,Standard:0",274040,295.9,0.00533,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Crystal:2,Standard:0",265822,230.9,0.00623,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Arctic White:2,Standard:0",5284408,295.9,0.00091,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Dark Sapphire:2,Standard:0",943308,295.9,0.00514,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Emerald:2,Standard:0",696436,295.9,0.00571,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Jet:2,Standard:0",626064,295.9,0.00659,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Light Peridot:2,Standard:0",662780,295.9,0.00623,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Light Topaz:2,Standard:0",274041,295.9,0.0065,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Medium Sapphire:2,Standard:0",274042,295.9,0.00629,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Rosaline:2,Standard:0",274043,295.9,0.00629,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Silk:2,Standard:0",5014575,295.9,0.00191,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Topaz:2,Standard:0",627127,295.9,0.00015,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Violet:2,Standard:0",695138,295.9,0.00712,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,Standard:0",265830,227.9,0,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x600):1,Crystal:2,Standard:0",265837,156.9,13.0545,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x420):1,Crystal:2,Standard:0",265840,133.9,9.2985,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x350):1,Crystal:2,Standard:0",265844,152.9,8.1645,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x300):1,Crystal:2,Standard:0",265845,180.9,7.8945,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","26 (x240):1,Crystal:2,Standard:0",265938,169.9,6.1665,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x150):1,Crystal:2,Standard:0",265939,103.9,3.3645,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x125):1,Crystal:2,Standard:0",265940,103.9,2.95825,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","32 (x125):1,Crystal:2,Standard:0",265773,143.9,3.5245,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","34 (x100):1,Crystal:2,Standard:0",265942,133.9,2.6845,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","36 (x80):1,Crystal:2,Standard:0",265943,124.9,1.9585,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","38 (x80):1,Crystal:2,Standard:0",265945,168.9,2.2785,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x56):1,Crystal:2,Standard:0",265946,126.9,1.2961,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x20):1,Crystal:2,Standard:0",265947,0,0.3345,10
9,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x20):1,Crystal:2,Standard:0",265941,56.9,0.5195,10
10,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x1.8):1,Crystal:2,Standard:0",265989,3,0.00568,10
10,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,Standard:0",265991,0,0,10
11,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x1):1,Crystal:2,Standard:0",266000,0,0,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,Standard:0",5191369,158.6,16.225,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x540):1,Crystal:2,Standard:0",5191371,120.6,9.489,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5191373,106.6,6.685,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191375,82.6,5.083,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5191378,72.6,3.165,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191380,55.6,2.0265,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28 (x96):1,Crystal:2,Standard:0",5191383,58.6,1.08996,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","32 (x96):1,Crystal:2,Standard:0",5191386,102.6,1.91076,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","36 (x72):1,Crystal:2,Standard:0",5191388,86.6,1.27596,10
12,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x30):1,Crystal:2,Standard:0",5191390,0,0,10
13,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5279198,0,0,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,Standard:0",5191392,103,14.431,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5191394,51,4.811,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191396,27,3.153,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5237458,17,1.2147,10
14,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191398,0,0,10
15,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5279209,0,0,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x800):1,Crystal:2,Standard:0",5191400,103,11.588,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x540):1,Crystal:2,Standard:0",5191402,65,7.5438,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x400):1,Crystal:2,Standard:0",5191404,51,4.712,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x280):1,Crystal:2,Standard:0",5191406,27,3.0852,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5191408,17,1.1469,10
16,"Taille:select:1, Couleur:select:2, Effet:select:0 ","24 (x150):1,Crystal:2,Standard:0",5191410,0,0,10
17,"Taille:select:1, Couleur:select:2, Effet:select:0 ","22 (x210):1,Crystal:2,Standard:0",5279215,0,0,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","81x13 (x48):1,Crystal:2,Standard:0",166099,43,460.4604,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","145x19 (x24):1,Crystal:2,Standard:0",159885,0,0,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","75x14 (x48):1,Crystal:2,Standard:0",166098,40,0.1452,10
18,"Taille:select:1, Couleur:select:2, Effet:select:0 ","137x23 (x24):1,Crystal:2,Standard:0",159882,6,0.06936,10
19,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x18 (x150):1,Crystal:2,Standard:0",159199,68,1.149,10
19,"Taille:select:1, Couleur:select:2, Effet:select:0 ","100x18 (x105):1,Crystal:2,Standard:0",159200,0,0,10
20,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x22 (x125):1,Crystal:2,Standard:0",159204,52,1.07775,10
20,"Taille:select:1, Couleur:select:2, Effet:select:0 ","76x22 (x100):1,Crystal:2,Standard:0",159205,0,0,10
21,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x22 (x125):1,Crystal:2,Standard:0",159206,52,0.7995,10
21,"Taille:select:1, Couleur:select:2, Effet:select:0 ","76x22 (x100):1,Crystal:2,Standard:0",159207,0,0,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","52x18 (x180):1,Crystal:2,Standard:0",159049,149,3.516,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","58x26 (x60):1,Crystal:2,Standard:0",159050,0,0,10
22,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x30 (x60):1,Crystal:2,Standard:0",159051,53,0.606,10
23,"Taille:select:1, Couleur:select:2, Effet:select:0 ","52x18 (x180):1,Crystal:2,Standard:0",159889,0,0,10
24,"Taille:select:1, Couleur:select:2, Effet:select:0 ","90 (x12):1,Crystal:2,Standard:0",159893,0,0,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","5 (x8.4):1,Crystal:2,Standard:0",159894,289,0.13973,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","6 (x7.2):1,Crystal:2,Standard:0",159721,490,0.16699,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","7 (x3.36):1,Crystal:2,Standard:0",159722,198,0.03936,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","8 (x3.36):1,Crystal:2,Standard:0",159895,333,0.0576,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","9 (x3.024):1,Crystal:2,Standard:0",159382,417,0.08232,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Crystal:2,Standard:0",159208,251,0.00571,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Arctic White:2,Standard:0",5284399,352,0.00071,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Jet:2,Standard:0",843179,352,0.00604,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Light Topaz:2,Standard:0",651572,352,0.00595,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Silk:2,Standard:0",5039148,352,0.00166,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x1.792):1,Topaz:2,Standard:0",667046,352,0,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","11 (x1.568):1,Crystal:2,Standard:0",159723,307,0.01065,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12 (x972):1,Crystal:2,Standard:0",159209,188,26.01633,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x720):1,Crystal:2,Standard:0",159383,162,23.01645,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","16 (x384):1,Crystal:2,Standard:0",159896,68,10.14093,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18 (x320):1,Crystal:2,Standard:0",159689,135,10.53005,10
25,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Crystal:2,Standard:0",159690,0,2.95725,10
26,"Taille:select:1, Couleur:select:2, Effet:select:0 ","7 (x3.696):1,Crystal:2,Standard:0",160322,0,0,10
27,"Taille:select:1, Couleur:select:2, Effet:select:0 ","25x8 (x1.08):1,Crystal:2,Standard:0",159048,0,0,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","12x12x12 (x480):1,Crystal:2,Standard:0",989475,48,8.715,10
28,"Taille:select:1, Couleur:select:2, Effet:select:0 ","18x18x18 (x140):1,Crystal:2,Standard:0",989476,0,0,10
29,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20x11.5 (x480):1,Crystal:2,Standard:0",989473,28,9.48912,10
29,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28x15.5 (x144):1,Crystal:2,Standard:0",989474,0,0,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","10 (x560):1,Crystal:2,Standard:0",5277694,0,4.1664,10
30,"Taille:select:1, Couleur:select:2, Effet:select:0 ","14 (x280):1,Crystal:2,Standard:0",5277695,3,0,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Antique Green:2,Standard:0",262022,349.2,3.06956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Blue Violet:2,Standard:0",627122,349.2,3.20492,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Bordeaux:2,Standard:0",262026,349.2,2.98172,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Crystal:2,Standard:0",249101,283.2,3.06524,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Dark Sapphire:2,Standard:0",943311,349.2,2.96444,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Emerald:2,Standard:0",696437,349.2,3.01628,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Jet:2,Standard:0",650273,349.2,3.09692,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Light Peridot:2,Standard:0",662782,349.2,3.06524,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Light Topaz:2,Standard:0",262025,349.2,3.08828,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Medium Sapphire:2,Standard:0",262023,349.2,3.06956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Rosaline:2,Standard:0",262024,349.2,3.06956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Silk:2,Standard:0",5039150,349.2,2.67068,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Topaz:2,Standard:0",627128,349.2,2.5094,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20 (x144):1,Violet:2,Standard:0",695145,349.2,3.14588,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Antique Green:2,Standard:0",262030,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Arctic White:2,Standard:0",5284410,189.2,0.93788,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Blue Violet:2,Standard:0",626459,189.2,1.19036,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Bordeaux:2,Standard:0",262031,189.2,1.1006,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Crystal:2,Standard:0",249102,150.2,1.1342,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Dark Sapphire:2,Standard:0",943312,189.2,1.0934,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Emerald:2,Standard:0",696438,189.2,1.11452,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Jet:2,Standard:0",650274,189.2,1.14716,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Light Peridot:2,Standard:0",662784,189.2,1.1342,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Light Topaz:2,Standard:0",262032,189.2,1.14332,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Medium Sapphire:2,Standard:0",262033,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Rosaline:2,Standard:0",262034,189.2,1.13564,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Silk:2,Standard:0",5039152,189.2,0.97532,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Topaz:2,Standard:0",627134,189.2,0.90956,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Violet:2,Standard:0",695146,189.2,1.16636,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Antique Green:2,Standard:0",262040,297.2,1.4658,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Blue Violet:2,Standard:0",626105,297.2,1.491,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Bordeaux:2,Standard:0",662792,297.2,1.7346,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Crystal:2,Standard:0",249103,241.2,1.7906,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Dark Sapphire:2,Standard:0",1002764,297.2,1.7234,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Emerald:2,Standard:0",696439,297.2,1.7582,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Jet:2,Standard:0",650275,297.2,1.8118,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Light Peridot:2,Standard:0",662785,297.2,1.7906,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Light Topaz:2,Standard:0",262041,297.2,1.8062,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Medium Sapphire:2,Standard:0",262042,297.2,1.5138,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Rosaline:2,Standard:0",262043,297.2,1.5062,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Silk:2,Standard:0",5039155,297.2,1.527,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Topaz:2,Standard:0",626059,297.2,1.4186,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Violet:2,Standard:0",695147,297.2,1.4998,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50 (x12):1,Crystal:2,Standard:0",249104,125.2,0.317,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","60 (x5):1,Crystal:2,Standard:0",250850,77.2,0.0847,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","70 (x1):1,Crystal:2,Standard:0",250851,0,6.2822,10
31,"Taille:select:1, Couleur:select:2, Effet:select:0 ","100 (x1):1,Crystal:2,Standard:0",250852,235.2,0,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30 (x48):1,Crystal:2,Standard:0",5279221,0,0,10
32,"Taille:select:1, Couleur:select:2, Effet:select:0 ","40 (x40):1,Crystal:2,Standard:0",5279222,104,0.6564,10
33,"Taille:select:1, Couleur:select:2, Effet:select:0 ","30x24 (x144):1,Crystal:2,Standard:0",159054,118,3.17376,10
