N° de système,Description,Code article,-,Unité de conditionne,Prix/Unité,Général stock,Quantité minimum de,Surcout (%),Quantité hors surcou,EAN
159224,"8721 MM 28,0X 17,0 CRYSTAL B",8721M28X17001B-,au programme,400,"556,00 EUR",0,0,0,0,9003141592244
159139,"8721 MM 38,0X 22,0 CRYSTAL B",8721M38X22001B-,au programme,192,"358,00 EUR",0,0,0,0,9003141591391
159023,"8721 MM 50,0X 29,0 CRYSTAL B",8721M50X29001B-,au programme,72,"206,00 EUR",36576,0,0,0,9003141590233
159225,"8721 MM 63,0X 37,0 CRYSTAL B",8721M63X37001B-,au programme,45,"261,00 EUR",0,0,0,0,9003141592251
159226,"8721 MM 76,0X 44,0 CRYSTAL B",8721M76X44001B-,au programme,30,"272,00 EUR",1860,0,0,0,9003141592268
196214,"8721 MM 89,0X 52,0 CRYSTAL B",8721M89X52001B-,au programme,21,"231,00 EUR",3003,0,0,0,9003141962146
5079537,"8721 MM100,0X 58,0 CRYSTAL B",8721M100X58001B-,au programme,12,"217,00 EUR",840,0,0,0,9009650795374
287422,"8721 MM125,0X 73,0 CRYSTAL B",8721M125X73001B-,au programme,6,"228,00 EUR",0,0,0,0,9003142874226
5079538,"8721 MM150,0X 88,0 CRYSTAL B",8721M150X88001B-,au programme,2,"107,00 EUR",816,0,0,0,9009650795381
5290983,"8721 MM175,0X102,0 CRYSTAL B",8721M175X102001B-,au programme,2,"273,00 EUR",226,0,0,0,9009652909830
207946,"8721 MM 28,0X 17,0 ANTIQUE GREEN B",8721M28X17509B-,au programme,400,"663,00 EUR",1200,0,0,0,9003142079461
207947,"8721 MM 38,0X 22,0 ANTIQUE GREEN B",8721M38X22509B-,au programme,192,"427,00 EUR",384,0,0,0,9003142079478
207948,"8721 MM 50,0X 29,0 ANTIQUE GREEN B",8721M50X29509B-,au programme,72,"248,00 EUR",720,0,0,0,9003142079485
687225,"8721 MM 28,0X 17,0 BLUE VIOLET B",8721M28X17349B-,au programme,400,"663,00 EUR",1200,0,0,0,9003146872259
627116,"8721 MM 38,0X 22,0 BLUE VIOLET B",8721M38X22349B-,au programme,192,"427,00 EUR",1152,0,0,0,9003146271168
627115,"8721 MM 50,0X 29,0 BLUE VIOLET B",8721M50X29349B-,au programme,72,"248,00 EUR",72,0,0,0,9003146271151
844235,"8721 MM 28,0X 17,0 BORDEAUX B",8721M28X17514B-,au programme,400,"663,00 EUR",1200,0,0,0,9003148442351
661914,"8721 MM 38,0X 22,0 BORDEAUX B",8721M38X22514B-,au programme,192,"427,00 EUR",1536,0,0,0,9003146619144
844236,"8721 MM 50,0X 29,0 BORDEAUX B",8721M50X29514B-,au programme,72,"248,00 EUR",1368,0,0,0,9003148442368
943314,"8721 MM 28,0X 17,0 DARK SAPPHIRE B",8721M28X17255B-,au programme,400,"663,00 EUR",3200,0,0,0,9003149433143
943315,"8721 MM 38,0X 22,0 DARK SAPPHIRE B",8721M38X22255B-,au programme,192,"427,00 EUR",960,0,0,0,9003149433150
1002766,"8721 MM 50,0X 29,0 DARK SAPPHIRE B",8721M50X29255B-,au programme,72,"248,00 EUR",1656,0,0,0,9007810027662
844240,"8721 MM 28,0X 17,0 EMERALD B",8721M28X17205B-,au programme,400,"663,00 EUR",2800,0,0,0,9003148442405
844241,"8721 MM 38,0X 22,0 EMERALD B",8721M38X22205B-,au programme,192,"427,00 EUR",768,0,0,0,9003148442412
941298,"8721 MM 50,0X 29,0 EMERALD B",8721M50X29205B-,au programme,72,"248,00 EUR",288,0,0,0,9003149412988
621615,"8721 MM 28,0X 17,0 JET B",8721M28X17280B-,au programme,400,"663,00 EUR",800,0,0,0,9003146216152
297008,"8721 MM 38,0X 22,0 JET B",8721M38X22280B-,au programme,192,"427,00 EUR",1344,0,0,0,9003142970089
621616,"8721 MM 50,0X 29,0 JET B",8721M50X29280B-,au programme,72,"248,00 EUR",864,0,0,0,9003146216169
660054,"8721 MM 63,0X 37,0 JET B",8721M63X37280B-,au programme,45,"314,00 EUR",315,0,0,0,9003146600548
686089,"8721 MM 28,0X 17,0 LIGHT PERIDOT B",8721M28X17387B-,au programme,400,"663,00 EUR",4400,0,0,0,9003146860898
686090,"8721 MM 38,0X 22,0 LIGHT PERIDOT B",8721M38X22387B-,au programme,192,"427,00 EUR",960,0,0,0,9003146860904
652377,"8721 MM 50,0X 29,0 LIGHT PERIDOT B",8721M50X29387B-,au programme,72,"248,00 EUR",4032,0,0,0,9003146523779
941301,"8721 MM 28,0X 17,0 LIGHT TOPAZ B",8721M28X17226B-,au programme,400,"663,00 EUR",3600,0,0,0,9003149413015
249530,"8721 MM 38,0X 22,0 LIGHT TOPAZ B",8721M38X22226B-,au programme,192,"427,00 EUR",4416,0,0,0,9003142495308
249531,"8721 MM 50,0X 29,0 LIGHT TOPAZ B",8721M50X29226B-,au programme,72,"248,00 EUR",5040,0,0,0,9003142495315
182801,"8721 MM 28,0X 17,0 MEDIUM SAPPHIRE B",8721M28X17210B-,au programme,400,"663,00 EUR",2400,0,0,0,9003141828015
182802,"8721 MM 38,0X 22,0 MEDIUM SAPPHIRE B",8721M38X22210B-,au programme,192,"427,00 EUR",1152,0,0,0,9003141828022
182313,"8721 MM 50,0X 29,0 MEDIUM SAPPHIRE B",8721M50X29210B-,au programme,72,"248,00 EUR",648,0,0,0,9003141823133
168696,"8721 MM 28,0X 17,0 ROSALINE B",8721M28X17508B-,au programme,400,"663,00 EUR",400,0,0,0,9003141686967
168695,"8721 MM 38,0X 22,0 ROSALINE B",8721M38X22508B-,au programme,192,"427,00 EUR",960,0,0,0,9003141686950
165199,"8721 MM 50,0X 29,0 ROSALINE B",8721M50X29508B-,au programme,72,"248,00 EUR",648,0,0,0,9003141651996
170013,"8721 MM 63,0X 37,0 ROSALINE B",8721M63X37508B-,au programme,45,"314,00 EUR",180,0,0,0,9003141700137
5039179,"8721 MM 28,0X 17,0 SILK B",8721M28X17391B-,au programme,400,"663,00 EUR",1600,0,0,0,9009650391798
5039180,"8721 MM 38,0X 22,0 SILK B",8721M38X22391B-,au programme,192,"427,00 EUR",1344,0,0,0,9009650391804
5039181,"8721 MM 50,0X 29,0 SILK B",8721M50X29391B-,au programme,72,"248,00 EUR",1800,0,0,0,9009650391811
652323,"8721 MM 28,0X 17,0 TOPAZ B",8721M28X17203B-,au programme,400,"663,00 EUR",3200,0,0,0,9003146523236
627132,"8721 MM 38,0X 22,0 TOPAZ B",8721M38X22203B-,au programme,192,"427,00 EUR",768,0,0,0,9003146271328
626242,"8721 MM 50,0X 29,0 TOPAZ B",8721M50X29203B-,au programme,72,"248,00 EUR",1296,0,0,0,9003146262425
693312,"8721 MM 63,0X 37,0 TOPAZ B",8721M63X37203B-,au programme,45,"314,00 EUR",180,0,0,0,9003146933127
844290,"8721 MM 28,0X 17,0 VIOLET B",8721M28X17371B-,au programme,400,"663,00 EUR",800,0,0,0,9003148442900
844291,"8721 MM 38,0X 22,0 VIOLET B",8721M38X22371B-,au programme,192,"427,00 EUR",768,0,0,0,9003148442917
941300,"8721 MM 50,0X 29,0 VIOLET B",8721M50X29371B-,au programme,72,"248,00 EUR",1800,0,0,0,9003149413008
170597,"8721 MM 28,0X 17,0 CRYSTAL BL.AB B",8721M28X17001BLABB-,au programme,400,"638,00 EUR",400,0,0,0,9003141705972
170598,"8721 MM 38,0X 22,0 CRYSTAL BL.AB B",8721M38X22001BLABB-,au programme,192,"409,00 EUR",5376,0,0,0,9003141705989
170599,"8721 MM 50,0X 29,0 CRYSTAL BL.AB B",8721M50X29001BLABB-,au programme,72,"236,00 EUR",648,0,0,0,9003141705996
172502,"8721 MM 63,0X 37,0 CRYSTAL BL.AB B",8721M63X37001BLABB-,au programme,45,"300,00 EUR",450,0,0,0,9003141725024
194368,"8721 MM 76,0X 44,0 CRYSTAL BL.AB B",8721M76X44001BLABB-,au programme,30,"313,00 EUR",300,0,0,0,9003141943688
632540,"8721 MM 89,0X 52,0 CRYSTAL BL.AB B",8721M89X52001BLABB-,au programme,21,"266,00 EUR",357,0,0,0,9003146325403
1186986,"8721 MM 38,0X 22,0 CRYSTAL BRONZSHADE B",8721M38X22001BRSHB-,au programme,192,"409,00 EUR",12096,0,0,0,9007811869865
1186987,"8721 MM 50,0X 29,0 CRYSTAL BRONZSHADE B",8721M50X29001BRSHB-,au programme,72,"236,00 EUR",2304,0,0,0,9007811869872
1186988,"8721 MM 63,0X 37,0 CRYSTAL BRONZSHADE B",8721M63X37001BRSHB-,au programme,45,"300,00 EUR",405,0,0,0,9007811869889
982140,"8721 MM 38,0X 22,0 CRYSTAL GOL.SHADOW B",8721M38X22001GSHAB-,au programme,192,"409,00 EUR",7872,0,0,0,9003149821407
982157,"8721 MM 50,0X 29,0 CRYSTAL GOL.SHADOW B",8721M50X29001GSHAB-,au programme,72,"236,00 EUR",864,0,0,0,9003149821575
982158,"8721 MM 63,0X 37,0 CRYSTAL GOL.SHADOW B",8721M63X37001GSHAB-,au programme,45,"300,00 EUR",0,0,0,0,9003149821582
982159,"8721 MM 76,0X 44,0 CRYSTAL GOL.SHADOW B",8721M76X44001GSHAB-,au programme,30,"313,00 EUR",30,0,0,0,9003149821599
982160,"8721 MM 89,0X 52,0 CRYSTAL GOL.SHADOW B",8721M89X52001GSHAB-,au programme,21,"266,00 EUR",252,0,0,0,9003149821605
621608,"8721 MM 28,0X 17,0 CRYSTAL GOLD. TEAK B",8721M28X17001GOLDTB-,au programme,400,"638,00 EUR",2800,0,0,0,9003146216084
288050,"8721 MM 38,0X 22,0 CRYSTAL GOLD. TEAK B",8721M38X22001GOLDTB-,au programme,192,"409,00 EUR",0,0,0,0,9003142880500
288051,"8721 MM 50,0X 29,0 CRYSTAL GOLD. TEAK B",8721M50X29001GOLDTB-,au programme,72,"236,00 EUR",1008,0,0,0,9003142880517
826548,"8721 MM 63,0X 37,0 CRYSTAL GOLD. TEAK B",8721M63X37001GOLDTB-,au programme,45,"300,00 EUR",450,0,0,0,9003148265486
288052,"8721 MM 76,0X 44,0 CRYSTAL GOLD. TEAK B",8721M76X44001GOLDTB-,au programme,30,"313,00 EUR",0,0,0,0,9003142880524
836783,"8721 MM 89,0X 52,0 CRYSTAL GOLD. TEAK B",8721M89X52001GOLDTB-,au programme,21,"266,00 EUR",21,0,0,0,9003148367838
5039049,"8721 MM 38,0X 22,0 CRYSTAL LILAC B",8721M38X22001LILAB-,au programme,192,"409,00 EUR",1728,0,0,0,9009650390494
5039052,"8721 MM 50,0X 29,0 CRYSTAL LILAC B",8721M50X29001LILAB-,au programme,72,"236,00 EUR",504,0,0,0,9009650390524
5039044,"8721 MM 63,0X 37,0 CRYSTAL LILAC B",8721M63X37001LILAB-,au programme,45,"300,00 EUR",945,0,0,0,9009650390449
5101423,"8721 MM 38,0X 22,0 CRYSTAL SILVGLAZE B",8721M38X22001SIGLAB-,au programme,192,"409,00 EUR",960,0,0,0,9009651014238
5101424,"8721 MM 50,0X 29,0 CRYSTAL SILVGLAZE B",8721M50X29001SIGLAB-,au programme,72,"236,00 EUR",432,0,0,0,9009651014245
5101425,"8721 MM 63,0X 37,0 CRYSTAL SILVGLAZE B",8721M63X37001SIGLAB-,au programme,45,"300,00 EUR",225,0,0,0,9009651014252
982317,"8721 MM 38,0X 22,0 CRYSTAL SILVSHADE B",8721M38X22001SSHAB-,au programme,192,"409,00 EUR",768,0,0,0,9003149823173
982319,"8721 MM 50,0X 29,0 CRYSTAL SILVSHADE B",8721M50X29001SSHAB-,au programme,72,"236,00 EUR",1512,0,0,0,9003149823197
982320,"8721 MM 63,0X 37,0 CRYSTAL SILVSHADE B",8721M63X37001SSHAB-,au programme,45,"300,00 EUR",0,0,0,0,9003149823203
982321,"8721 MM 76,0X 44,0 CRYSTAL SILVSHADE B",8721M76X44001SSHAB-,au programme,30,"313,00 EUR",120,0,0,0,9003149823210
982323,"8721 MM 89,0X 52,0 CRYSTAL SILVSHADE B",8721M89X52001SSHAB-,au programme,21,"266,00 EUR",168,0,0,0,9003149823234
